Frequency (GHz);Noise (dBc/Hz)
12.01;-156.11
12.03;-156.01
12.06;-156.00
12.09;-155.99
12.11;-155.93
12.14;-155.76
12.17;-155.49
12.19;-155.14
12.22;-154.83
12.25;-154.67
12.27;-154.74
12.30;-155.02
12.33;-155.41
12.35;-155.70
12.38;-155.74
12.41;-155.47
12.43;-154.96
12.46;-154.38
12.49;-153.93
12.52;-153.77
12.54;-154.02
12.57;-154.70
12.60;-155.77
12.62;-157.09
12.65;-158.48
12.68;-159.71
12.70;-160.62
12.73;-161.11
12.76;-161.20
12.78;-160.94
12.81;-160.44
12.84;-159.82
12.86;-159.19
12.89;-158.62
12.92;-158.15
12.94;-157.77
12.97;-157.43
13.00;-157.07
13.02;-156.69
13.05;-156.31
13.08;-155.96
13.10;-155.65
13.13;-155.34
13.16;-154.97
13.18;-154.53
13.21;-154.05
13.24;-153.64
13.26;-153.40
13.29;-153.41
13.32;-153.65
13.34;-154.02
13.37;-154.41
13.40;-154.68
13.42;-154.74
13.45;-154.55
13.48;-154.07
13.50;-153.34
13.53;-152.47
13.56;-151.61
13.58;-150.97
13.61;-150.71
13.64;-150.87
13.66;-151.35
13.69;-151.98
13.72;-152.58
13.74;-153.07
13.77;-153.48
13.80;-153.88
13.82;-154.35
13.85;-154.88
13.88;-155.39
13.90;-155.78
13.93;-155.94
13.96;-155.85
13.98;-155.52
14.01;-155.06
14.04;-154.59
14.06;-154.26
14.09;-154.19
14.12;-154.39
14.14;-154.72
14.17;-154.99
14.20;-155.03
14.22;-154.79
14.25;-154.37
14.28;-153.97
14.30;-153.74
14.33;-153.76
14.36;-153.95
14.38;-154.19
14.41;-154.37
14.44;-154.44
14.46;-154.39
14.49;-154.24
14.52;-154.02
14.54;-153.74
14.57;-153.48
14.60;-153.33
14.62;-153.38
14.65;-153.69
14.68;-154.20
14.70;-154.79
14.73;-155.31
14.76;-155.65
14.78;-155.78
14.81;-155.72
14.84;-155.51
14.86;-155.19
14.89;-154.75
14.92;-154.24
14.94;-153.73
14.97;-153.34
15.00;-153.16
15.02;-153.22
15.05;-153.48
15.08;-153.83
15.10;-154.15
15.13;-154.37
15.16;-154.47
15.18;-154.45
15.21;-154.34
15.24;-154.18
15.26;-153.94
15.29;-153.62
15.32;-153.19
15.34;-152.64
15.37;-151.99
15.40;-151.29
15.42;-150.64
15.45;-150.18
15.48;-150.06
15.50;-150.33
15.53;-150.98
15.56;-151.83
15.58;-152.68
15.61;-153.30
15.64;-153.59
15.66;-153.56
15.69;-153.30
15.72;-152.89
15.74;-152.42
15.77;-151.94
15.80;-151.51
15.82;-151.24
15.85;-151.22
15.88;-151.48
15.90;-151.98
15.93;-152.61
15.96;-153.22
15.98;-153.74
16.01;-154.10
16.04;-154.30
16.06;-154.39
16.09;-154.38
16.12;-154.32
16.14;-154.26
16.17;-154.21
16.20;-154.19
16.22;-154.15
16.25;-154.08
16.28;-153.96
16.30;-153.80
16.33;-153.64
16.36;-153.46
16.38;-153.23
16.41;-152.93
16.44;-152.59
16.46;-152.28
16.49;-152.07
16.52;-152.01
16.54;-152.07
16.57;-152.18
16.60;-152.26
16.62;-152.27
16.65;-152.21
16.68;-152.12
16.70;-152.05
16.73;-151.98
16.76;-151.91
16.78;-151.79
16.81;-151.61
16.84;-151.38
16.86;-151.17
16.89;-151.04
16.92;-151.03
16.94;-151.17
16.97;-151.42
17.00;-151.73
17.02;-151.99
17.05;-152.11
17.08;-152.06
17.10;-151.82
17.13;-151.46
17.16;-151.07
17.18;-150.74
17.21;-150.54
17.24;-150.47
17.26;-150.44
17.29;-150.37
17.32;-150.19
17.34;-149.87
17.37;-149.45
17.40;-149.00
17.42;-148.59
17.45;-148.25
17.48;-147.98
17.51;-147.76
17.53;-147.58
17.56;-147.46
17.59;-147.44
17.61;-147.58
17.64;-147.89
17.67;-148.35
17.69;-148.90
17.72;-149.44
17.75;-149.93
17.77;-150.36
17.80;-150.77
17.83;-151.20
17.85;-151.65
17.88;-152.09
17.91;-152.46
17.93;-152.73
17.96;-152.87
17.99;-152.89
18.01;-152.79
18.04;-152.60
18.07;-152.31
18.09;-151.95
18.12;-151.53
18.15;-151.08
18.17;-150.57
18.20;-150.00
18.23;-149.35
18.25;-148.63
18.28;-147.93
18.31;-147.35
18.33;-147.02
18.36;-147.02
18.39;-147.38
18.41;-148.07
18.44;-148.99
18.47;-150.02
18.49;-151.06
18.52;-152.01
18.55;-152.82
18.57;-153.45
18.60;-153.88
18.63;-154.10
18.65;-154.11
18.68;-153.97
18.71;-153.77
18.73;-153.60
18.76;-153.48
18.79;-153.36
18.81;-153.15
18.84;-152.75
18.87;-152.16
18.89;-151.47
18.92;-150.89
18.95;-150.58
18.97;-150.68
19.00;-151.17
19.03;-151.94
19.05;-152.82
19.08;-153.61
19.11;-154.17
19.13;-154.47
19.16;-154.54
19.19;-154.46
19.21;-154.30
19.24;-154.11
19.27;-153.87
19.29;-153.54
19.32;-153.09
19.35;-152.49
19.37;-151.74
19.40;-150.88
19.43;-149.94
19.45;-149.04
19.48;-148.27
19.51;-147.75
19.53;-147.54
19.56;-147.66
19.59;-148.07
19.61;-148.69
19.64;-149.44
19.67;-150.24
19.69;-151.02
19.72;-151.71
19.75;-152.25
19.77;-152.59
19.80;-152.76
19.83;-152.82
19.85;-152.81
19.88;-152.78
19.91;-152.70
19.93;-152.54
19.96;-152.33
19.99;-152.12
20.01;-151.96
20.04;-151.99
20.07;-152.26
20.09;-152.74
20.12;-153.28
20.15;-153.77
20.17;-154.06
20.20;-154.07
20.23;-153.75
20.25;-153.15
20.28;-152.37
20.31;-151.59
20.33;-150.97
20.36;-150.61
20.39;-150.52
20.41;-150.64
20.44;-150.87
20.47;-151.10
20.49;-151.30
20.52;-151.46
20.55;-151.58
20.57;-151.66
20.60;-151.72
20.63;-151.79
20.65;-151.92
20.68;-152.14
20.71;-152.44
20.73;-152.79
20.76;-153.15
20.79;-153.49
20.81;-153.72
20.84;-153.78
20.87;-153.58
20.89;-153.06
20.92;-152.23
20.95;-151.15
20.97;-149.94
21.00;-148.76
21.03;-147.75
21.05;-147.02
21.08;-146.65
21.11;-146.61
21.13;-146.84
21.16;-147.23
21.19;-147.65
21.21;-147.99
21.24;-148.20
21.27;-148.31
21.29;-148.42
21.32;-148.63
21.35;-149.03
21.37;-149.62
21.40;-150.34
21.43;-151.05
21.45;-151.63
21.48;-151.95
21.51;-151.97
21.53;-151.75
21.56;-151.40
21.59;-151.09
21.61;-150.92
21.64;-150.85
21.67;-150.76
21.69;-150.47
21.72;-149.91
21.75;-149.16
21.77;-148.43
21.80;-147.95
21.83;-147.89
21.85;-148.32
21.88;-149.16
21.91;-150.27
21.93;-151.39
21.96;-152.27
21.99;-152.68
22.01;-152.54
22.04;-151.94
22.07;-151.13
22.09;-150.39
22.12;-149.95
22.15;-149.88
22.17;-150.14
22.20;-150.62
22.23;-151.14
22.25;-151.56
22.28;-151.79
22.31;-151.83
22.33;-151.76
22.36;-151.73
22.39;-151.91
22.41;-152.39
22.44;-153.15
22.47;-154.04
22.49;-154.85
22.52;-155.40
22.55;-155.62
22.58;-155.52
22.60;-155.18
22.63;-154.68
22.66;-154.12
22.68;-153.56
22.71;-153.05
22.74;-152.62
22.76;-152.23
22.79;-151.84
22.82;-151.43
22.84;-150.99
22.87;-150.57
22.90;-150.19
22.92;-149.86
22.95;-149.54
22.98;-149.15
23.00;-148.66
23.03;-148.09
23.06;-147.54
23.08;-147.18
23.11;-147.12
23.14;-147.45
23.16;-148.15
23.19;-149.10
23.22;-150.15
23.24;-151.13
23.27;-151.94
23.30;-152.52
23.32;-152.91
23.35;-153.13
23.38;-153.24
23.40;-153.32
23.43;-153.44
23.46;-153.62
23.48;-153.84
23.51;-154.04
23.54;-154.15
23.56;-154.13
23.59;-154.04
23.62;-153.93
23.64;-153.85
23.67;-153.77
23.70;-153.58
23.72;-153.20
23.75;-152.65
23.78;-152.03
23.80;-151.53
23.83;-151.29
23.86;-151.33
23.88;-151.51
23.91;-151.67
23.94;-151.72
23.96;-151.70
23.99;-151.76
24.02;-151.98
24.04;-152.37
24.07;-152.75
24.10;-152.90
24.12;-152.65
24.15;-152.01
24.18;-151.13
24.20;-150.19
24.23;-149.30
24.26;-148.48
24.28;-147.71
24.31;-147.03
24.34;-146.54
24.36;-146.38
24.39;-146.65
24.42;-147.30
24.44;-148.22
24.47;-149.23
24.50;-150.17
24.52;-150.91
24.55;-151.36
24.58;-151.44
24.60;-151.14
24.63;-150.55
24.66;-149.83
24.68;-149.21
24.71;-148.86
24.74;-148.85
24.76;-149.11
24.79;-149.52
24.82;-149.89
24.84;-150.13
24.87;-150.18
24.90;-150.10
24.92;-149.98
24.95;-149.86
24.98;-149.73
25.00;-149.50
25.03;-149.08
25.06;-148.39
25.08;-147.48
25.11;-146.46
25.14;-145.54
25.16;-144.89
25.19;-144.67
25.22;-144.87
25.24;-145.36
25.27;-145.95
25.30;-146.43
25.32;-146.68
25.35;-146.69
25.38;-146.50
25.40;-146.22
25.43;-145.95
25.46;-145.80
25.48;-145.82
25.51;-145.99
25.54;-146.24
25.56;-146.46
25.59;-146.60
25.62;-146.71
25.64;-146.93
25.67;-147.42
25.70;-148.25
25.72;-149.37
25.75;-150.60
25.78;-151.75
25.80;-152.67
25.83;-153.28
25.86;-153.57
25.88;-153.53
25.91;-153.19
25.94;-152.61
25.96;-151.89
25.99;-151.20
26.02;-150.73
26.04;-150.56
26.07;-150.63
26.10;-150.87
26.12;-151.15
26.15;-151.37
26.18;-151.50
26.20;-151.52
26.23;-151.45
26.26;-151.32
26.28;-151.17
26.31;-151.02
26.34;-150.81
26.36;-150.45
26.39;-149.89
26.42;-149.14
26.44;-148.29
26.47;-147.47
26.50;-146.78
26.52;-146.30
26.55;-146.06
26.58;-146.10
26.60;-146.44
26.63;-147.05
26.66;-147.87
26.68;-148.81
26.71;-149.80
26.74;-150.83
26.76;-151.91
26.79;-153.02
26.82;-154.06
26.84;-154.88
26.87;-155.34
26.90;-155.41
26.92;-155.15
26.95;-154.69
26.98;-154.23
27.00;-153.92
27.03;-153.87
27.06;-154.08
27.08;-154.41
27.11;-154.62
27.14;-154.43
27.16;-153.72
27.19;-152.50
27.22;-150.98
27.24;-149.44
27.27;-148.14
27.30;-147.26
27.32;-146.89
27.35;-147.03
27.38;-147.60
27.40;-148.48
27.43;-149.53
27.46;-150.65
27.48;-151.80
27.51;-152.94
27.54;-154.00
27.57;-154.87
27.59;-155.39
27.62;-155.48
27.65;-155.14
27.67;-154.51
27.70;-153.75
27.73;-153.00
27.75;-152.30
27.78;-151.63
27.81;-150.96
27.83;-150.30
27.86;-149.73
27.89;-149.38
27.91;-149.29
27.94;-149.46
27.97;-149.76
27.99;-150.04
28.02;-150.18
28.05;-150.23
28.07;-150.32
28.10;-150.55
28.13;-150.89
28.15;-151.21
28.18;-151.28
28.21;-150.94
28.23;-150.13
28.26;-148.99
28.29;-147.73
28.31;-146.64
28.34;-145.96
28.37;-145.83
28.39;-146.25
28.42;-147.06
28.45;-148.01
28.47;-148.86
28.50;-149.46
28.53;-149.82
28.55;-150.06
28.58;-150.32
28.61;-150.71
28.63;-151.17
28.66;-151.59
28.69;-151.84
28.71;-151.88
28.74;-151.74
28.77;-151.55
28.79;-151.39
28.82;-151.30
28.85;-151.23
28.87;-151.15
28.90;-151.04
28.93;-150.98
28.95;-151.04
28.98;-151.26
29.01;-151.63
29.03;-152.07
29.06;-152.52
29.09;-152.92
29.11;-153.29
29.14;-153.64
29.17;-153.99
29.19;-154.34
29.22;-154.68
29.25;-155.01
29.27;-155.37
29.30;-155.76
29.33;-156.17
29.35;-156.57
29.38;-156.91
29.41;-157.16
29.43;-157.33
29.46;-157.42
29.49;-157.43
29.51;-157.32
29.54;-157.06
29.57;-156.67
29.59;-156.28
29.62;-156.03
29.65;-156.06
29.67;-156.37
29.70;-156.88
29.73;-157.38
29.75;-157.67
29.78;-157.58
29.81;-157.08
29.83;-156.20
29.86;-155.05
29.89;-153.76
29.91;-152.46
29.94;-151.24
29.97;-150.18
29.99;-149.30
30.02;-148.58
30.05;-147.99
30.07;-147.55
30.10;-147.34
30.13;-147.41
30.15;-147.77
30.18;-148.34
30.21;-148.95
30.23;-149.46
30.26;-149.77
30.29;-149.91
30.31;-149.92
30.34;-149.88
30.37;-149.82
30.39;-149.75
30.42;-149.71
30.45;-149.68
30.47;-149.64
30.50;-149.58
30.53;-149.46
30.55;-149.36
30.58;-149.38
30.61;-149.65
30.63;-150.23
30.66;-151.08
30.69;-152.09
30.71;-153.14
30.74;-154.11
30.77;-154.91
30.79;-155.44
30.82;-155.60
30.85;-155.31
30.87;-154.55
30.90;-153.43
30.93;-152.16
30.95;-151.01
30.98;-150.23
31.01;-150.01
31.03;-150.42
31.06;-151.44
31.09;-152.97
31.11;-154.80
31.14;-156.73
31.17;-158.54
31.19;-160.04
31.22;-161.07
31.25;-161.57
31.27;-161.50
31.30;-160.91
31.33;-159.92
31.35;-158.73
31.38;-157.52
31.41;-156.46
31.43;-155.60
31.46;-154.97
31.49;-154.52
31.51;-154.23
31.54;-154.10
31.57;-154.10
31.59;-154.17
31.62;-154.25
31.65;-154.26
31.67;-154.17
31.70;-153.98
31.73;-153.73
31.75;-153.40
31.78;-152.99
31.81;-152.44
31.83;-151.72
31.86;-150.88
31.89;-149.99
31.91;-149.17
31.94;-148.51
31.97;-148.05
31.99;-147.81
32.02;-147.78
32.05;-148.12
32.07;-148.93
32.10;-150.18
32.13;-151.71
32.15;-153.22
32.18;-154.42
32.21;-155.11
32.23;-155.28
32.26;-155.05
32.29;-154.61
32.31;-154.09
32.34;-153.54
32.37;-152.91
32.39;-152.15
32.42;-151.27
32.45;-150.36
32.47;-149.54
32.50;-148.95
32.53;-148.68
32.56;-148.70
32.58;-148.87
32.61;-149.01
32.64;-148.92
32.66;-148.51
32.69;-147.76
32.72;-146.79
32.74;-145.73
32.77;-144.76
32.80;-144.01
32.82;-143.57
32.85;-143.45
32.88;-143.64
32.90;-144.05
32.93;-144.57
32.96;-145.03
32.98;-145.26
33.01;-145.14
33.04;-144.63
33.06;-143.81
33.09;-142.88
33.12;-142.13
33.14;-141.78
33.17;-141.99
33.20;-142.75
33.22;-143.86
33.25;-145.06
33.28;-146.08
33.30;-146.79
33.33;-147.21
33.36;-147.53
33.38;-147.94
33.41;-148.55
33.44;-149.29
33.46;-149.92
33.49;-150.18
33.52;-149.91
33.54;-149.12
33.57;-148.03
33.60;-146.94
33.62;-146.17
33.65;-145.86
33.68;-145.97
33.70;-146.27
33.73;-146.49
33.76;-146.43
33.78;-146.07
33.81;-145.55
33.84;-145.09
33.86;-144.87
33.89;-145.00
33.92;-145.44
33.94;-146.05
33.97;-146.66
34.00;-147.04
34.02;-147.19
34.05;-146.98
34.08;-146.51
34.10;-145.93
34.13;-145.44
34.16;-145.16
34.18;-145.11
34.21;-145.24
34.24;-145.43
34.26;-145.57
34.29;-145.59
34.32;-145.47
34.34;-145.22
34.37;-144.88
34.40;-144.49
34.42;-144.08
34.45;-143.64
34.48;-143.15
34.50;-142.59
34.53;-142.00
34.56;-141.50
34.58;-141.22
34.61;-141.28
34.64;-141.65
34.66;-142.20
34.69;-142.77
34.72;-143.21
34.74;-143.52
34.77;-143.79
34.80;-144.18
34.82;-144.76
34.85;-145.53
34.88;-146.38
34.90;-147.16
34.93;-147.69
34.96;-147.89
34.98;-147.78
35.01;-147.51
35.04;-147.24
35.06;-147.09
35.09;-147.10
35.12;-147.21
35.14;-147.30
35.17;-147.26
35.20;-147.00
35.22;-146.47
35.25;-145.67
35.28;-144.70
35.30;-143.72
35.33;-142.94
35.36;-142.54
35.38;-142.58
35.41;-142.99
35.44;-143.56
35.46;-144.04
35.49;-144.28
35.52;-144.27
35.54;-144.10
35.57;-143.95
35.60;-143.98
35.62;-144.25
35.65;-144.77
35.68;-145.45
35.70;-146.15
35.73;-146.74
35.76;-147.15
35.78;-147.34
35.81;-147.33
35.84;-147.19
35.86;-146.98
35.89;-146.76
35.92;-146.58
35.94;-146.46
35.97;-146.39
36.00;-146.36
36.02;-146.35
36.05;-146.32
36.08;-146.30
36.10;-146.34
36.13;-146.47
36.16;-146.68
36.18;-146.92
36.21;-147.14
36.24;-147.35
36.26;-147.63
36.29;-148.10
36.32;-148.84
36.34;-149.82
36.37;-150.87
36.40;-151.80
36.42;-152.41
36.45;-152.58
36.48;-152.34
36.50;-151.79
36.53;-151.12
36.56;-150.49
36.58;-150.00
36.61;-149.68
36.64;-149.49
36.66;-149.38
36.69;-149.28
36.72;-149.09
36.74;-148.76
36.77;-148.23
36.80;-147.51
36.82;-146.65
36.85;-145.76
36.88;-144.98
36.90;-144.45
36.93;-144.31
36.96;-144.59
36.98;-145.28
37.01;-146.30
37.04;-147.54
37.06;-148.88
37.09;-150.19
37.12;-151.35
37.14;-152.21
37.17;-152.65
37.20;-152.62
37.22;-152.14
37.25;-151.34
37.28;-150.39
37.30;-149.45
37.33;-148.64
37.36;-147.95
37.38;-147.34
37.41;-146.80
37.44;-146.38
37.46;-146.24
37.49;-146.47
37.52;-147.07
37.55;-147.91
37.57;-148.80
37.60;-149.61
37.63;-150.31
37.65;-150.96
37.68;-151.59
37.71;-152.17
37.73;-152.55
37.76;-152.57
37.79;-152.13
37.81;-151.27
37.84;-150.18
37.87;-149.09
37.89;-148.15
37.92;-147.42
37.95;-146.84
37.97;-146.37
38.00;-146.01
38.03;-145.77
38.05;-145.83
38.08;-146.23
38.11;-146.91
38.13;-147.76
38.16;-148.70
38.19;-149.67
38.21;-150.66
38.24;-151.63
38.27;-152.51
38.29;-153.26
38.32;-153.85
38.35;-154.30
38.37;-154.64
38.40;-154.88
38.43;-155.00
38.45;-154.98
38.48;-154.81
38.51;-154.50
38.53;-154.12
38.56;-153.74
38.59;-153.47
38.61;-153.41
38.64;-153.65
38.67;-154.15
38.69;-154.77
38.72;-155.22
38.75;-155.23
38.77;-154.58
38.80;-153.26
38.83;-151.45
38.85;-149.49
38.88;-147.77
38.91;-146.62
38.93;-146.19
38.96;-146.46
38.99;-147.25
39.01;-148.29
39.04;-149.34
39.07;-150.20
39.09;-150.79
39.12;-151.11
39.15;-151.27
39.17;-151.42
39.20;-151.67
39.23;-152.05
39.25;-152.50
39.28;-152.95
39.31;-153.37
39.33;-153.79
39.36;-154.32
39.39;-154.98
39.41;-155.72
39.44;-156.42
39.47;-156.98
39.49;-157.35
39.52;-157.53
39.55;-157.56
39.57;-157.41
39.60;-157.00
39.63;-156.25
39.65;-155.15
39.68;-153.82
39.71;-152.43
39.73;-151.18
39.76;-150.21
39.79;-149.55
39.81;-149.14
39.84;-148.84
39.87;-148.52
39.89;-148.07
39.92;-147.50
39.95;-146.87
39.97;-146.33
40.00;-146.00
